selector,N,CRG,CRG_CI_low,CRG_CI_high,CRG_std,delta_vs_greedy,delta_vs_random,BLEU-1,METEOR,ROUGE-L,CIDEr,Judge_mean_0to10
CT-CHAT greedy,8,0.3681,0.3646,0.3719,,,,0.3921,0.22,0.3335,0.2772,6.069
Random-of-8,8,0.3712,,,0.0013,0.0032,0.0,0.4061,0.2167,0.3036,0.0922,5.884
PRM-CTCLIP-0.5B,8,0.3882,0.3835,0.393,,0.0202,0.017,0.4418,0.22,0.277,0.0277,5.622
PRM-CTCLIP-3B,8,0.3878,0.3835,0.3923,,0.0198,0.0166,0.4529,0.227,0.2862,0.0298,5.817
PRM-LLM-0.5B,8,0.358,0.3549,0.3611,,-0.01,-0.0132,0.3475,0.2005,0.2908,0.0977,5.737
PRM-LLM-3B,8,0.3566,0.3539,0.3596,,-0.0115,-0.0146,0.3477,0.2011,0.2938,0.1113,5.74
Oracle,8,0.4911,0.4857,0.4967,,0.123,0.1198,0.4366,0.2321,0.3236,0.1298,6.74
